ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A471;02/01/2008;61;20,25;Ponta Grossa
A472;03/01/2008;60;19,81;Ponta Grossa
A473;04/01/2008;65;20,87;Ponta Grossa
A474;05/01/2008;58;20,94;Ponta Grossa
A475;06/01/2008;52;20,31;Ponta Grossa
A476;07/01/2008;55;20,01;Ponta Grossa
A477;08/01/2008;40;20,92;Ponta Grossa
A478;09/01/2008;53;20,84;Ponta Grossa
A479;10/01/2008;39;22,18;Ponta Grossa
A480;11/01/2008;45;22,24;Ponta Grossa
A481;12/01/2008;79;19,25;Ponta Grossa
A482;13/01/2008;80;19,00;Ponta Grossa
A483;14/01/2008;54;20,98;Ponta Grossa
A484;16/01/2008;50;20,69;Ponta Grossa
A485;17/01/2008;61;21,08;Ponta Grossa
A486;18/01/2008;62;22,03;Ponta Grossa
A487;19/01/2008;79;20,82;Ponta Grossa
A488;20/01/2008;87;18,78;Ponta Grossa
A489;21/01/2008;76;17,17;Ponta Grossa
A490;22/01/2008;71;15,59;Ponta Grossa
A491;23/01/2008;66;16,37;Ponta Grossa
A492;24/01/2008;61;17,49;Ponta Grossa
A493;25/01/2008;67;18,15;Ponta Grossa
A494;26/01/2008;64;17,63;Ponta Grossa
A495;27/01/2008;68;16,73;Ponta Grossa
A496;28/01/2008;82;16,46;Ponta Grossa
A497;29/01/2008;83;17,52;Ponta Grossa
A498;30/01/2008;69;18,52;Ponta Grossa
A499;31/01/2008;50;20,11;Ponta Grossa
A500;01/02/2008;48;19,97;Ponta Grossa
A501;02/02/2008;49;21,41;Ponta Grossa
A502;03/02/2008;38;21,75;Ponta Grossa
A503;04/02/2008;65;19,24;Ponta Grossa
A504;05/02/2008;42;19,36;Ponta Grossa
A505;06/02/2008;48;19,79;Ponta Grossa
A506;07/02/2008;64;19,54;Ponta Grossa
A507;08/02/2008;46;20,31;Ponta Grossa
A508;09/02/2008;51;20,97;Ponta Grossa
A509;10/02/2008;59;20,33;Ponta Grossa
A510;12/02/2008;58;21,17;Ponta Grossa
A511;13/02/2008;50;21,96;Ponta Grossa
A512;15/02/2008;58;20,50;Ponta Grossa
A513;16/02/2008;58;19,88;Ponta Grossa
A514;17/02/2008;37;21,18;Ponta Grossa
A515;18/02/2008;44;21,10;Ponta Grossa
A516;19/02/2008;62;20,53;Ponta Grossa
A517;20/02/2008;53;21,61;Ponta Grossa
A518;21/02/2008;44;22,37;Ponta Grossa
A519;22/02/2008;45;21,78;Ponta Grossa
A520;23/02/2008;67;19,67;Ponta Grossa
A521;24/02/2008;71;19,79;Ponta Grossa
A522;25/02/2008;52;19,61;Ponta Grossa
A523;26/02/2008;49;19,20;Ponta Grossa
A524;27/02/2008;57;19,91;Ponta Grossa
A525;28/02/2008;60;19,00;Ponta Grossa
A526;29/02/2008;84;17,83;Ponta Grossa
A527;01/03/2008;45;19,93;Ponta Grossa
A528;02/03/2008;42;20,00;Ponta Grossa
A529;03/03/2008;46;20,39;Ponta Grossa
A530;04/03/2008;39;19,51;Ponta Grossa
A531;06/03/2008;33;20,23;Ponta Grossa
A532;07/03/2008;33;21,59;Ponta Grossa
A533;08/03/2008;46;21,36;Ponta Grossa
A534;09/03/2008;51;21,92;Ponta Grossa
A535;10/03/2008;53;20,75;Ponta Grossa
A536;11/03/2008;71;20,69;Ponta Grossa
A537;12/03/2008;60;20,88;Ponta Grossa
A538;13/03/2008;83;18,81;Ponta Grossa
A539;14/03/2008;48;18,18;Ponta Grossa
A540;15/03/2008;48;17,27;Ponta Grossa
A541;16/03/2008;56;17,40;Ponta Grossa
A542;17/03/2008;61;16,84;Ponta Grossa
A543;18/03/2008;48;19,27;Ponta Grossa
A544;19/03/2008;55;19,69;Ponta Grossa
A545;20/03/2008;60;18,52;Ponta Grossa
A546;21/03/2008;65;17,49;Ponta Grossa
A547;22/03/2008;60;19,02;Ponta Grossa
A548;23/03/2008;73;17,95;Ponta Grossa
A549;24/03/2008;52;20,16;Ponta Grossa
